model,n_dim,RMSE,time
FOM,128,0.0,0.01909947395324707
ROM,4,0.03576064325426805,0.049237728118896484
ROM_2,5,0.005075700106350059,0.03995013236999512
ROM_3,6,0.0016939683004219567,0.04166817665100098
ROM_4,7,0.0006601638111117942,0.04225015640258789
