model,mu,RMSE,time,time_saved
FOM,0.1,0.0,0.017774581909179688,0.0
ROM,0.1,0.0712590680822924,0.04779553413391113,-0.030020952224731445
ROM_2,0.4,0.012774138021985544,0.05923867225646973,-0.03807711601257324
ROM_3,1.8,0.02384847360955602,0.04898810386657715,-0.03165292739868164
ROM_4,2.0,0.025889059602279215,0.044892072677612305,-0.028939247131347656
