model,mu,RMSE,time,time_saved
FOM,0.1,0.0,0.017789840698242188,0.0
ROM,0.1,0.0712590680822924,0.04704546928405762,-0.02925562858581543
ROM_2,0.4,0.012774138021985544,0.051523685455322266,-0.03303050994873047
ROM_3,1.8,0.02384847360955602,0.03942108154296875,-0.025255441665649414
ROM_4,2.0,0.025889059602279215,0.03894352912902832,-0.02473759651184082
